id,name,group
211,Albertína Friðbjörg Elíasdóttir,The Social Democratic Alliance
179,Andrés Ingi Jónsson,Pirate Party
212,Anna Kolbrún Árnadóttir,Centre Party
180,Ari Trausti Guðmundsson,Left-Green Movement
34,Ágúst Ólafur Ágústsson,The Social Democratic Alliance
182,Áslaug Arna Sigurbjörnsdóttir,Independence Party
121,Ásmundur Einar Daðason,Progressive Party
167,Ásmundur Friðriksson,Independence Party
213,Bergþór Ólason,Centre Party
36,Birgir Ármannsson,Independence Party
216,Birgir Þórarinsson,Centre Party
175,Bjarkey Olsen Gunnarsdóttir,Left-Green Movement
40,Bjarni Benediktsson,Independence Party
181,Björn Leví Gunnarsson,Pirate Party
184,Bryndís Haraldsdóttir,Independence Party
168,Brynjar Níelsson,Independence Party
186,Guðjón S. Brjánsson,The Social Democratic Alliance
33,Guðlaugur Þór Þórðarson,Independence Party
218,Guðmundur Andri Thorsson,The Social Democratic Alliance
219,Guðmundur Ingi Kristinsson,People's Party
139,Gunnar Bragi Sveinsson,Centre Party
214,Halla Signý Kristjánsdóttir,Progressive Party
188,Halldóra Mogensen,Pirate Party
207,Hanna Katrín Friðriksson,Liberal Reform Party
171,Haraldur Benediktsson,Independence Party
220,Helga Vala Helgadóttir,The Social Democratic Alliance
165,Helgi Hrafn Gunnarsson,Pirate Party
210,Inga Sæland,People's Party
106,Jón Gunnarsson,Independence Party
190,Jón Steindór Valdimarsson,Liberal Reform Party
166,Jón Þór Ólafsson,Pirate Party
217,Karl Gauti Hjaltason,Centre Party
109,Katrín Jakobsdóttir,Left-Green Movement
206,Kolbeinn Óttarsson Proppé,Left-Green Movement
110,Kristján Þór Júlíusson,Independence Party
204,Lilja Alfreðsdóttir,Progressive Party
130,Lilja Rafney Magnúsdóttir,Left-Green Movement
158,Líneik Anna Sævarsdóttir,Progressive Party
201,Logi Einarsson,The Social Democratic Alliance
203,Njáll Trausti Friðbertsson,Independence Party
136,Oddný G. Harðardóttir,The Social Democratic Alliance
221,Ólafur Ísleifsson,Centre Party
148,Ólafur Þór Gunnarsson,Left-Green Movement
200,Óli Björn Kárason,Independence Party
198,Páll Magnússon,Independence Party
197,Rósa Björk Brynjólfsdóttir,The Social Democratic Alliance
144,Sigmundur Davíð Gunnlaugsson,Centre Party
177,Sigríður Á. Andersen,Independence Party
141,Sigurður Ingi Jóhannsson,Progressive Party
215,Sigurður Páll Jónsson,Centre Party
161,Silja Dögg Gunnarsdóttir,Progressive Party
196,Smári McCarthy,Pirate Party
74,Steingrímur J. Sigfússon,Left-Green Movement
176,Steinunn Þóra Árnadóttir,Left-Green Movement
118,Svandís Svavarsdóttir,Left-Green Movement
173,Vilhjálmur Árnason,Independence Party
162,Willum Þór Þórsson,Progressive Party
222,Þorbjörg Sigríður Gunnlaugsdóttir,Liberal Reform Party
78,Þorgerður K. Gunnarsdóttir,Liberal Reform Party
163,Þorsteinn Sæmundsson,Centre Party
,Þórarinn Ingi Pétursson,Progressive Party
194,Þórdís Kolbrún R. Gylfadóttir,Independence Party
195,Þórhildur Sunna Ævarsdóttir,Pirate Party
