item,name,party,group,district,constituency,gender,dob,dobPrecision,psid
Q106713472,Diljá Mist Einarsdóttir,Q218303,Independence Party,Q1526538,Reykjavík North,female,,,Q106713472-7B5DB3CB-D2C3-45FF-8D22-6ACEA4EF4E38
Q108510678,Þórarinn Ingi Pétursson,Q1046777,Progressive Party,Q2001559,Northeast,male,1972-08-22,11,Q108510678-1598B5E9-FB8D-4FDD-A4FB-72CB935AD4E4
Q108856310,Ingibjörg Isaksen,Q1046777,Progressive Party,Q2001559,Northeast,female,1977-02-14,11,Q108856310-AAF9121F-628A-4887-9855-A54F465CB302
Q108856352,Guðbrandur Einarsson,Q23789296,Liberal Reform Party,Q1419190,South Constituency,male,,,Q108856352-28D82AF8-F9FE-496B-90B5-D1CFED64AE34
Q108856353,Guðrún Hafsteinsdóttir,Q218303,Independence Party,Q1419190,South Constituency,female,1970-02-09,11,Q108856353-095D50A2-C4B7-46B8-BEA3-5F7C2A690FEE
Q108856354,Eyjólfur Ármannsson,Q27273216,People's Party,Q2001582,Northwest,male,,,Q108856354-F13704B2-5C5A-4103-AB0B-3D24194CFAC8
Q108856355,Ásthildur Lóa Þórsdóttir,Q27273216,People's Party,Q1419190,South Constituency,female,,,Q108856355-3D409BB4-D2AF-4686-BA52-5521606AE538
Q108856371,Kristrún Frostadóttir,Q1141127,Social Democratic Alliance,Q2037988,Reykjavík South,female,,,Q108856371-BAFF87E2-B78E-4FCB-8DBA-4C1E07025CF2
Q108881942,Hildur Sverrisdóttir,Q218303,Independence Party,Q2037988,Reykjavík South,female,,,Q108881942-8FE3669C-F368-49AE-AFE6-B6F539657DC9
Q108881944,Orri Páll Jóhannsson,Q1130754,Left-Green Movement,Q2037988,Reykjavík South,male,,,Q108881944-C3F01284-89B2-4849-AFEC-EC75634834D9
Q108881945,Jóhann Páll Jóhannsson,Q1141127,Social Democratic Alliance,Q1526538,Reykjavík North,male,,,Q108881945-D02A8467-0FE2-45FE-82C7-ADE7D054E0A2
Q108881946,Arndís Anna Kristínardóttir Gunnarsdóttir,Q198403,Pirate Party Iceland,Q2037988,Reykjavík South,female,1982-02-03,11,Q108881946-461984F8-3386-4148-BFB6-7D9C0C10F538
Q108881947,Ágúst Bjarni Garðarsson,Q1046777,Progressive Party,Q770576,Southwest,,,,Q108881947-833BAE23-DC0B-430F-A21F-4D614769E50F
Q108881948,Gísli Rafn Ólafsson,Q198403,Pirate Party Iceland,Q770576,Southwest,,,,Q108881948-75BECD57-569E-416D-9747-37C47805DB2E
Q108881950,Lilja Rannveig Sigurgeirsdóttir,Q1046777,Progressive Party,Q2001582,Northwest,,,,Q108881950-A8CCA306-9669-4C57-BA53-F3B99705E290
Q108881953,Bjarni Jónsson,Q1130754,Left-Green Movement,Q2001582,Northwest,,,,Q108881953-B6D5F376-83E3-46C4-BD71-0A80DCCC766A
Q108881954,Jóhann Friðrik Friðriksson,Q1046777,Progressive Party,Q1419190,South Constituency,,,,Q108881954-0E831510-8F7F-451F-B8BD-34E1CC226A18
Q108881955,Berglind Ósk Guðmundsdóttir,Q218303,Independence Party,Q2001559,Northeast,,,,Q108881955-AD83CC58-3402-42CF-9CB4-A62A715078B8
Q108881956,Hafdís Hrönn Hafsteinsdóttir,Q1046777,Progressive Party,Q1419190,South Constituency,,,,Q108881956-23EB6F8A-BB15-44EA-856F-0437B2EB4CB3
Q108881957,Jódís Skúladóttir,Q1130754,Left-Green Movement,Q2001559,Northeast,,,,Q108881957-CCCB1439-85AA-4203-A951-674DFBBC160B
Q139225,Þorgerður K. Gunnarsdóttir,Q23789296,Liberal Reform Party,Q770576,Southwest,female,1965-10-04,11,Q139225-A0163983-8D3E-48FD-92FD-16AB77D1758C
Q15214902,Steinunn Þóra Árnadóttir,Q1130754,Left-Green Movement,Q1526538,Reykjavík North,female,1977-09-18,11,Q15214902-CC1AC7EA-720B-4A96-9B94-0D9C6B793165
Q1557735,Guðlaugur Þór Þórðarson,Q218303,Independence Party,Q1526538,Reykjavík North,male,1967-12-19,11,Q1557735-9238D04D-6D1D-487D-BDF3-E8BCE7A99D6F
Q15622430,Ásmundur Friðriksson,Q218303,Independence Party,Q1419190,South Constituency,male,1956-01-21,11,Q15622430-D705901F-FE32-407C-9040-17871348B5FD
Q15622449,Bjarkey Olsen Gunnarsdóttir,Q1130754,Left-Green Movement,Q2001559,Northeast,female,1965-02-27,11,Q15622449-A95927D4-C255-4903-BDDD-E9BA76DC2D20
Q15730617,Haraldur Benediktsson,Q218303,Independence Party,Q2001582,Northwest,male,1966-01-23,11,Q15730617-DD66A3D6-16FA-4413-95B2-AEA159006AFA
Q15838819,Sigmar Guðmundsson,Q23789296,Liberal Reform Party,Q770576,Southwest,male,,,Q15838819-AE1E4D9D-529C-4775-9741-5748D87F6668
Q16421281,Líneik Anna Sævarsdóttir,Q1046777,Progressive Party,Q2001559,Northeast,female,1964-11-03,11,Q16421281-E2F77D77-4758-44FA-AECA-E842283B54D3
Q16427250,Stefán Vagn Stefánsson,Q1046777,Progressive Party,Q2001582,Northwest,male,1972-01-17,11,Q16427250-C5AD982C-1248-41D1-A16A-67B702FD4335
Q16429256,Tómas A. Tómasson,Q27273216,People's Party,Q1526538,Reykjavík North,male,1949-01-01,9,Q16429256-6C6BEA20-25BF-472E-942A-4D928757E870
Q16430083,Vilhjálmur Árnason,Q218303,Independence Party,Q1419190,South Constituency,male,1983-10-29,11,Q16430083-E189257B-82C5-4D74-8470-072F405FB25D
Q1715048,Jón Gunnarsson,Q218303,Independence Party,Q770576,Southwest,male,1956-09-21,11,Q1715048-6E6370D4-35AD-4A5F-9173-6D5D758AFE35
Q201075,Sigurður Ingi Jóhannsson,Q1046777,Progressive Party,Q1419190,South Constituency,male,1962-04-20,11,Q201075-E97C2870-E612-4C40-B3CD-ED97539DF21B
Q23753778,Lilja Alfreðsdóttir,Q1046777,Progressive Party,Q2037988,Reykjavík South,female,1973-10-04,11,Q23753778-F2F27733-72C3-4D04-8DF5-8BEC677B0C81
Q252565,Ásmundur Einar Daðason,Q1046777,Progressive Party,Q1526538,Reykjavík North,male,1982-10-29,11,Q252565-B47C0C82-D1E0-4993-9B69-7A88B72125F3
Q27688679,Andrés Ingi Jónsson,Q198403,Pirate Party Iceland,Q1526538,Reykjavík North,male,1979-08-16,11,Q27688679-9397A8A0-53FC-4FA7-967A-2C5F86643886
Q27901964,Logi Einarsson,Q1141127,Social Democratic Alliance,Q2001559,Northeast,male,1964-08-21,11,Q27901964-CA651570-F722-4597-AE20-C6E47F37FAA6
Q27956749,Þórhildur Sunna Ævarsdóttir,Q198403,Pirate Party Iceland,Q770576,Southwest,female,1987-05-06,11,Q27956749-4FEC3A18-ED96-4665-BB45-93340A61E110
Q27988721,Áslaug Arna Sigurbjörnsdóttir,Q218303,Independence Party,Q2037988,Reykjavík South,female,1990-11-30,11,Q27988721-45B9CF36-DD25-4A41-9F5D-99FC538F38B0
Q28056970,Björn Leví Gunnarsson,Q198403,Pirate Party Iceland,Q2037988,Reykjavík South,male,1976-06-01,11,Q28056970-C8EA8F5B-4303-4A84-B210-C443EFB264A2
Q28734624,Þórdís Kolbrún R. Gylfadóttir,Q218303,Independence Party,Q2001582,Northwest,female,1987-11-04,11,Q28734624-309700A2-C2F5-472A-90F9-42A236D8C2F4
Q28927547,Bryndís Haraldsdóttir,Q218303,Independence Party,Q770576,Southwest,female,1976-12-29,11,Q28927547-5A9A6A4A-0281-447C-85F9-001CA6DBDD18
Q31749109,Njáll Trausti Friðbertsson,Q218303,Independence Party,Q2001559,Northeast,male,1969-12-31,11,Q31749109-7E64CBC4-1C4E-4A07-9B3D-A6842324FA9E
Q31749114,Hanna Katrín Friðriksson,Q23789296,Liberal Reform Party,Q2037988,Reykjavík South,female,1964-08-04,11,Q31749114-97616F21-9023-418F-A7D7-A0A8773FCD6E
Q31749120,Halldóra Mogensen,Q198403,Pirate Party Iceland,Q1526538,Reykjavík North,female,1979-07-11,11,Q31749120-81345069-2494-4D34-9F19-D1ECED13EF94
Q31749123,Óli Björn Kárason,Q218303,Independence Party,Q770576,Southwest,male,1960-08-26,11,Q31749123-484FE7C0-E46E-4BF5-880F-CA683E42D369
Q335921,Þórunn Sveinbjarnardóttir,Q1141127,Social Democratic Alliance,Q770576,Southwest,female,1965-11-22,11,Q335921-8FDC51AC-D065-4FEE-AD41-4F3D840E2B69
Q3481103,Willum Þór Þórsson,Q1046777,Progressive Party,Q770576,Southwest,male,1963-03-17,11,Q3481103-4DD5BFCF-E1E2-4408-85BD-C40E50C19647
Q42666551,Inga Sæland,Q27273216,People's Party,Q2037988,Reykjavík South,female,1959-08-03,11,Q42666551-A7FD9F0E-87CD-4351-B566-2094E9BE1811
Q437989,Oddný G. Harðardóttir,Q1141127,Social Democratic Alliance,Q1419190,South Constituency,female,1957-04-09,11,Q437989-0CF26AA0-93BF-4DF7-8288-B421322A5148
Q438056,Svandís Svavarsdóttir,Q1130754,Left-Green Movement,Q2037988,Reykjavík South,female,1964-08-24,11,Q438056-E3E41338-EAFF-4719-94C5-09892E821EE3
Q44216756,Guðmundur Ingi Guðbrandsson,Q1130754,Left-Green Movement,Q770576,Southwest,male,1977-03-28,11,Q44216756-9EC494F4-1261-4722-B741-D3050D5FFF6F
Q463588,Sigmundur Davíð Gunnlaugsson,Q41280154,Centre Party,Q2001559,Northeast,male,1975-03-12,11,Q463588-C71B6DA6-5679-4272-A433-5C1167F89B27
Q467464,Katrín Jakobsdóttir,Q1130754,Left-Green Movement,Q1526538,Reykjavík North,female,1976-02-01,11,Q467464-03540E0C-47E5-4A34-9BE6-B3E52F1BD014
Q51536993,Halla Signý Kristjánsdóttir,Q1046777,Progressive Party,Q2001582,Northwest,female,1964-05-01,11,Q51536993-71F928CB-72C3-4A91-AFBA-4F80B2C8AF01
Q55768528,Bergþór Ólason,Q41280154,Centre Party,Q2001582,Northwest,male,1975-09-26,11,Q55768528-01D21369-54F0-4A76-B449-F3EC121EBE77
Q55768548,Birgir Þórarinsson,Q218303,Independence Party,Q1419190,South Constituency,male,1965-06-23,11,Q55768548-91C15FCC-A961-4630-8126-10308677552F
Q59399730,Helga Vala Helgadóttir,Q1141127,Social Democratic Alliance,Q1526538,Reykjavík North,female,1972-03-14,11,Q59399730-4D4C9A0E-A8D4-483C-BD3F-23A7237E8E6D
